,Player,Assists,Matches
0,Alberto Noguera,8,20
1, Roy Krishna , 8 , 23 
2, Hugo Boumous , 7 , 16 
3, Federico Gallego , 6 , 16 
4, Aitor Monroy , 6 , 19 
5, Jerry Mawihmingthanga , 5 , 17 
6, Ahmed Jahouh , 5 , 20 
7, Cleiton Silva , 4 , 18 
8, Gary Hooper , 4 , 18 
9, Alexander Jesuraj , 4 , 21 
10, Bipin Singh , 4 , 22 
11, Brandon Fernandes , 3 , 12 
12, Facundo Pereyra , 3 , 12 
13, Sahal Abdul Samad , 3 , 14 
14, Harmanjot Khabra , 3 , 16 
15, Anthony Pilkington , 3 , 17 
16, Matti Steinmann , 3 , 17 
17, Jackichand Singh , 3 , 18 
18, Jakub Sylvestr , 3 , 19 
19, Liston Colaco , 3 , 19 
20, Cy Goddard , 3 , 19 
21, Edu Bedia , 3 , 20 
22, Saviour Gama , 3 , 21 
23, Bartholomew Ogbeche , 3 , 23 
24, Manvir Singh , 3 , 23 
25, Fran Sandaza , 2 , 11 
26, Daniel Lalhlimpuia , 2 , 12 
27, Rochharzela , 2 , 12 
28, Bradden Inman , 2 , 13 
29, Surchandra Singh , 2 , 13 
30, Edwin Vanspaul , 2 , 14 
31, Daniel Fox , 2 , 16 
32, Joao Victor , 2 , 17 
33, Ashutosh Mehta , 2 , 18 
34, Mohammed Yasir , 2 , 18 
35, Manuel Onwu , 2 , 18 
36, Asish Rai , 2 , 18 
37, Aridane Santana , 2 , 18 
38, David Williams , 2 , 20 
39, Diego Mauricio , 2 , 20 
40, Sunil Chhetri , 2 , 20 
41, Tiri , 2 , 21 
42, Carl McHugh , 2 , 21 
43, Luis Machado , 2 , 22 
44, Edmund Lalrindika , 1 , 3 
45, Bikash Jairu , 1 , 4 
46, Xisco Hernandez , 1 , 6 
47, Raju Gaikwad , 1 , 7 
48, Rafael Crivellaro , 1 , 7 
49, Jeje Lalpekhlua , 1 , 7 
50, Nim Dorjee , 1 , 7 
51, Roland , 1 , 8 
52, Nishu Kumar , 1 , 9 
53, Rakesh Pradhan , 1 , 9 
54, William Lalnunfela , 1 , 11 
55, Nandhakumar Sekar , 1 , 11 
56, Hendry Antonay , 1 , 11 
57, Parag Srivas , 1 , 11 
58, Wahengbam Luwang , 1 , 12 
59, Joel Chianese , 1 , 12 
60, Bright , 1 , 12 
61, Lluis Sastre , 1 , 12 
62, Adil Khan , 1 , 12 
63, Seityasen Singh , 1 , 12 
64, Dimas Delgado , 1 , 13 
65, Farukh Choudhary , 1 , 14 
66, Sandeep Singh , 1 , 14 
67, Cole Alexander , 1 , 15 
68, Glan Martins , 1 , 15 
69, Kristian Opseth , 1 , 15 
70, Rahul Bheke , 1 , 15 
71, Isaac Vanmalsawma , 1 , 16 
72, Pronay Halder , 1 , 16 
73, Esmael Goncalves , 1 , 16 
74, Mandar Rao Dessai , 1 , 17 
75, Narayan Das , 1 , 17 
76, Udanta Singh , 1 , 17 
77, Jacob , 1 , 17 
78, Javier Hernandez , 1 , 17 
79, Erik Paartalu , 1 , 18 
80, Gurjinder Kumar , 1 , 18 
81, Reagan Singh , 1 , 18 
82, Gurpreet Singh Sandhu , 1 , 19 
83, Vicente Gomez , 1 , 19 
84, Ivan Gonzalez , 1 , 19 
85, Jacques Maghoma , 1 , 19 
86, Suhair Vadakkepeedika , 1 , 19 
87, Mohammad Mobashir , 1 , 19 
88, Jordan Murray , 1 , 19 
89, Akash Mishra , 1 , 20 
90, Albino Gomes , 1 , 20 
91, Rowllin Borges , 1 , 20 
92, Lallianzuala Chhangte , 1 , 20 
93, Deshorn Brown , 1 , 20 
94, Prabir Das , 1 , 20 
95, Khassa Camara , 1 , 21 
96, Jorge Mendoza , 1 , 21 
97, Dylan Fox , 1 , 21 
98, Adam Le Fondre , 1 , 23 
