,Player,Interceptions,Matches
0,Stephen Eze,60,20
1, Rowllin Borges , 57 , 20 
2, Akash Mishra , 55 , 20 
3, Asish Rai , 51 , 18 
4, Khassa Camara , 50 , 21 
5, Pritam Kotal , 46 , 22 
6, Lalengmawia , 46 , 22 
7, Jacob , 43 , 17 
8, Cole Alexander , 41 , 15 
9, Hernan Santana , 41 , 19 
10, Gaurav Bora , 38 , 18 
11, Reagan Singh , 38 , 18 
12, Halicharan Narzary , 38 , 20 
13, Saviour Gama , 37 , 21 
14, Gurjinder Kumar , 36 , 18 
15, Eli Sabia , 35 , 19 
16, Memo Moura , 35 , 19 
17, Edu Bedia , 35 , 20 
18, Amey Ranawade , 34 , 20 
19, Ahmed Jahouh , 33 , 20 
20, Laldinliana Renthlei , 32 , 15 
21, Ricky Lallawmawma , 32 , 20 
22, Carl McHugh , 32 , 21 
23, Harmanjot Khabra , 31 , 16 
24, Erik Paartalu , 31 , 18 
25, Odei Onaindia , 31 , 20 
26, Anirudh Thapa , 30 , 14 
27, Lenny Rodrigues , 30 , 19 
28, Mourtada Fall , 30 , 22 
29, Joao Victor , 28 , 17 
30, Alexandre Lima , 28 , 19 
31, Subhasish Bose , 28 , 20 
32, Jacques Maghoma , 27 , 19 
33, Aitor Monroy , 27 , 19 
34, Benjamin Lambot , 27 , 21 
35, Jeakson Singh , 26 , 16 
36, Chinglensana Singh , 26 , 18 
37, Seriton  Fernandes , 26 , 19 
38, Sandesh Jhingan , 26 , 22 
39, Jessel Carneiro , 25 , 16 
40, Scott Neville , 25 , 16 
41, Prabir Das , 25 , 20 
42, Tiri , 25 , 21 
43, Vignesh Dakshinamurthy , 25 , 22 
44, Vinit Rai , 24 , 16 
45, Narayan Das , 24 , 17 
46, Matti Steinmann , 23 , 17 
47, Ashutosh Mehta , 23 , 18 
48, Vicente Gomez , 23 , 19 
49, Jerry Lalrinzuala , 23 , 19 
50, Manvir Singh , 23 , 23 
51, Peter Hartley , 22 , 19 
52, Ninthoinganba Meetei , 21 , 13 
53, Javier Hernandez , 21 , 17 
54, Deepak Tangri , 21 , 17 
55, Suhair Vadakkepeedika , 21 , 19 
56, Sunil Chhetri , 21 , 20 
57, Shubham Sarangi , 20 , 14 
58, Rahul Bheke , 20 , 15 
59, Costa Nhamoinesu , 20 , 16 
60, Enes Sipovic , 20 , 18 
61, Yondrembem Denechandra , 19 , 6 
62, Parag Srivas , 19 , 11 
63, Bakary Kone , 19 , 14 
64, Daniel Fox , 19 , 16 
65, Jerry Mawihmingthanga , 19 , 17 
66, Suresh Wangjam , 19 , 19 
67, Ivan Gonzalez , 19 , 19 
68, Hendry Antonay , 18 , 11 
69, Steven Taylor , 18 , 17 
70, Dylan Fox , 18 , 21 
71, Provat Lakra , 17 , 11 
72, Edwin Vanspaul , 17 , 14 
73, Isaac Vanmalsawma , 17 , 16 
74, Rahul KP , 17 , 17 
75, Princeton Rebello , 17 , 17 
76, David Williams , 17 , 20 
77, Lallianzuala Chhangte , 17 , 20 
78, Alexander Jesuraj , 17 , 21 
79, Luis Machado , 17 , 22 
80, Raju Gaikwad , 16 , 7 
81, Narender Gahlot , 16 , 10 
82, Sandeep Singh , 16 , 14 
83, Glan Martins , 16 , 15 
84, Mohammed Rafique , 16 , 15 
85, Pronay Halder , 16 , 16 
86, Aridane Santana , 16 , 18 
87, Milan Singh , 15 , 8 
88, Alberto Noguera , 15 , 20 
89, Raynier Fernandes , 15 , 21 
90, Rakesh Pradhan , 14 , 9 
91, Juanan , 14 , 14 
92, Cleiton Silva , 14 , 18 
93, Bipin Singh , 14 , 22 
94, Mehtab Singh , 13 , 12 
95, Ankit Mukherjee , 13 , 12 
96, Sahal Abdul Samad , 13 , 14 
97, Hitesh Sharma , 13 , 15 
98, Mohammed Yasir , 13 , 18 
99, James Donachie , 13 , 18 
100, Jackichand Singh , 13 , 18 
101, Francisco Gonzalez , 13 , 18 
102, Jorge Mendoza , 13 , 21 
103, Ashique Kuruniyan , 12 , 8 
104, Sarthak Golui , 12 , 9 
105, Udanta Singh , 12 , 17 
106, Rana Gharami , 11 , 7 
107, Nim Dorjee , 11 , 7 
108, Juan de Dios , 11 , 10 
109, Facundo Pereyra , 11 , 12 
110, Mandar Rao Dessai , 11 , 17 
111, Mohammad Mobashir , 11 , 19 
112, Nishu Kumar , 10 , 9 
113, Nandhakumar Sekar , 10 , 11 
114, Mashoor Shereef , 10 , 11 
115, Lluis Sastre , 10 , 12 
116, Adil Khan , 10 , 12 
117, Seiminlen Doungel , 10 , 15 
118, Liston Colaco , 10 , 19 
119, Mohamed Irshad , 9 , 4 
120, Lalruatthara , 9 , 5 
121, Sehnaj Singh , 9 , 6 
122, Edu Garcia , 9 , 11 
123, Dimas Delgado , 9 , 13 
124, Surchandra Singh , 9 , 13 
125, Pratik Chaudhari , 9 , 15 
126, Rahim Ali , 9 , 16 
127, Hugo Boumous , 9 , 16 
128, Gary Hooper , 9 , 18 
129, Roy Krishna , 9 , 23 
130, George D'souza , 8 , 2 
131, Ajith Kumar , 8 , 8 
132, Rohit Kumar , 8 , 11 
133, Wahengbam Luwang , 8 , 12 
134, Anthony Pilkington , 8 , 17 
135, Bikash Jairu , 7 , 4 
136, Sourav Das , 7 , 4 
137, Paul Ramfangzauva , 7 , 5 
138, Joel Chianese , 7 , 12 
139, Aniket Jadhav , 7 , 14 
140, Jayesh Rane , 7 , 16 
141, Federico Gallego , 7 , 16 
142, Jakub Sylvestr , 7 , 19 
143, Sumit Rathi , 6 , 6 
144, Lalrempuia Fanai , 6 , 9 
145, Prasanth Karuthadathkuni , 6 , 13 
146, Devendra Murgaonkar , 6 , 13 
147, Cy Goddard , 6 , 19 
148, Diego Mauricio , 6 , 20 
149, Igor Angulo , 6 , 21 
150, Aiban Dohling , 5 , 8 
151, Mohamad Rakip , 5 , 9 
152, Lalthathanga Khawlhring , 5 , 10 
153, Britto PM , 5 , 11 
154, Marcelo Pereira , 5 , 16 
155, Manuel Onwu , 5 , 18 
156, Haobam Singh , 4 , 4 
157, Kamalpreet Singh , 4 , 4 
158, Manuel Lanzarote , 4 , 5 
159, Ajay Chhetri , 4 , 5 
160, Laishram Singh , 4 , 6 
161, Rafael Crivellaro , 4 , 7 
162, Kwesi Appiah , 4 , 8 
163, Nikhil Poojary , 4 , 10 
164, Bright , 4 , 12 
165, Seityasen Singh , 4 , 12 
166, Brandon Fernandes , 4 , 12 
167, Farukh Choudhary , 4 , 14 
168, Fatkhullo Fatkhuloev , 4 , 16 
169, Idrissa Sylla , 4 , 18 
170, Nerijus Valskis , 4 , 18 
171, Deshorn Brown , 4 , 20 
172, Adam Le Fondre , 4 , 23 
173, Bartholomew Ogbeche , 4 , 23 
174, Eugeneson Lyngdoh , 3 , 2 
175, Lalchhuanmawia Fanai , 3 , 4 
176, Mohamed Ali , 3 , 5 
177, Mohd Sajid Dhot , 3 , 6 
178, Imran Khan , 3 , 6 
179, Souvik Chakrabarti , 3 , 7 
180, John Fitzgerald , 3 , 8 
181, Amay Morajkar , 3 , 8 
182, Amarjit Singh , 3 , 9 
183, Redeem Tlang , 3 , 10 
184, Bradden Inman , 3 , 13 
185, Kristian Opseth , 3 , 15 
186, Esmael Goncalves , 3 , 16 
187, Jordan Murray , 3 , 19 
188, Mirshad Michu , 2 , 1 
189, Abdul Hakku , 2 , 3 
190, Sergio Cidoncha , 2 , 3 
191, Balwant Singh , 2 , 3 
192, Saurabh Meher , 2 , 3 
193, Sandip Mandi , 2 , 4 
194, Joyner Lourenco , 2 , 5 
195, David Grande , 2 , 6 
196, Sahil Sheikh , 2 , 7 
197, Roland , 2 , 8 
198, Leon Augustin , 2 , 9 
199, Sahil Tavora , 2 , 10 
200, Germanpreet Singh , 2 , 11 
201, Vikram Partap Singh , 2 , 11 
202, Rochharzela , 2 , 12 
203, Daniel Lalhlimpuia , 2 , 12 
204, Thoi Singh , 2 , 12 
205, Thoiba Singh , 1 , 1 
206, Leander D'Cunha , 1 , 1 
207, N Rohen Singh , 1 , 1 
208, Isak Vanlalruatfela , 1 , 2 
209, S Lalhrezuala , 1 , 2 
210, Wungngayam Muirang , 1 , 2 
211, Karan Amin , 1 , 2 
212, Naorem Singh , 1 , 2 
213, Sahil Panwar , 1 , 3 
214, Nongdamba Naorem , 1 , 3 
215, Yumnam Singh , 1 , 4 
216, Sanson Pereira , 1 , 4 
217, Xisco Hernandez , 1 , 6 
218, Jeje Lalpekhlua , 1 , 7 
219, Jitendra Singh , 1 , 9 
220, William Lalnunfela , 1 , 11 
221, Fran Sandaza , 1 , 11 
