,Player,Goals,Matches
0,Igor Angulo,14,23
1, Roy Krishna , 14 , 23 
2, Diego Mauricio , 12 , 20 
3, Adam Le Fondre , 11 , 23 
4, Aridane Santana , 10 , 18 
5, Nerijus Valskis , 8 , 18 
6, Sunil Chhetri , 8 , 20 
7, Bartholomew Ogbeche , 8 , 23 
8, Cleiton Silva , 7 , 18 
9, Jordan Murray , 7 , 19 
10, Luis Machado , 7 , 22 
11, David Williams , 6 , 20 
12, Jorge Mendoza , 6 , 21 
13, Bipin Singh , 6 , 22 
14, Manvir Singh , 6 , 23 
15, Gary Hooper , 5 , 18 
16, Deshorn Brown , 5 , 20 
17, Fran Sandaza , 4 , 11 
18, Ishan Pandita , 4 , 11 
19, Federico Gallego , 4 , 16 
20, Esmael Goncalves , 4 , 16 
21, Matti Steinmann , 4 , 17 
22, Halicharan Narzary , 4 , 20 
23, Lallianzuala Chhangte , 4 , 20 
24, Stephen Eze , 4 , 20 
25, Mourtada Fall , 4 , 22 
26, Kwesi Appiah , 3 , 8 
27, Bright , 3 , 12 
28, Joel Chianese , 3 , 12 
29, Cole Alexander , 3 , 15 
30, Hugo Boumous , 3 , 16 
31, Rahul KP , 3 , 17 
32, Anthony Pilkington , 3 , 17 
33, Joao Victor , 3 , 17 
34, Idrissa Sylla , 3 , 18 
35, Suhair Vadakkepeedika , 3 , 19 
36, Jacques Maghoma , 3 , 19 
37, Paul Ramfangzauva , 2 , 5 
38, David Grande , 2 , 6 
39, Aaron Amadi-Holloway , 2 , 13 
40, Anirudh Thapa , 2 , 14 
41, Juanan , 2 , 14 
42, Costa Nhamoinesu , 2 , 16 
43, Marcelo Pereira , 2 , 16 
44, Rahim Ali , 2 , 16 
45, Jerry Mawihmingthanga , 2 , 17 
46, Steven Taylor , 2 , 17 
47, Erik Paartalu , 2 , 18 
48, Liston Colaco , 2 , 19 
49, Vicente Gomez , 2 , 19 
50, Jakub Sylvestr , 2 , 19 
51, Ivan Gonzalez , 2 , 19 
52, Peter Hartley , 2 , 19 
53, Hernan Santana , 2 , 19 
54, Rowllin Borges , 2 , 20 
55, Benjamin Lambot , 2 , 21 
56, S Lalhrezuala , 1 , 2 
57, Abdul Hakku , 1 , 3 
58, Boris Singh , 1 , 3 
59, Sergio Cidoncha , 1 , 3 
60, Manuel Lanzarote , 1 , 5 
61, Imran Khan , 1 , 6 
62, Rafael Crivellaro , 1 , 7 
63, Jeje Lalpekhlua , 1 , 7 
64, Roland , 1 , 8 
65, Sarthak Golui , 1 , 9 
66, Leon Augustin , 1 , 9 
67, Lalthathanga Khawlhring , 1 , 10 
68, Redeem Tlang , 1 , 10 
69, Edu Garcia , 1 , 11 
70, Rochharzela , 1 , 12 
71, Bradden Inman , 1 , 13 
72, Dimas Delgado , 1 , 13 
73, Devendra Murgaonkar , 1 , 13 
74, Aniket Jadhav , 1 , 14 
75, Seiminlen Doungel , 1 , 15 
76, Rahul Bheke , 1 , 15 
77, Glan Martins , 1 , 15 
78, Scott Neville , 1 , 16 
79, Daniel Fox , 1 , 16 
80, Fatkhullo Fatkhuloev , 1 , 16 
81, Jeakson Singh , 1 , 16 
82, Javier Hernandez , 1 , 17 
83, Udanta Singh , 1 , 17 
84, Ashutosh Mehta , 1 , 18 
85, Francisco Gonzalez , 1 , 18 
86, Mohammad Mobashir , 1 , 19 
87, Cy Goddard , 1 , 19 
88, Suresh Wangjam , 1 , 19 
89, Alberto Noguera , 1 , 20 
90, Alexander Jesuraj , 1 , 21 
91, Saviour Gama , 1 , 21 
92, Vignesh Dakshinamurthy , 1 , 22 
93, Lalengmawia , 1 , 22 
94, Pritam Kotal , 1 , 22 
